Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
2replicas_scenario51_3500rps,2,1_CPU_1_L3,51,3500,3500.0215634097344,0.13,0.118,0.0,0.188,0.221,0.347,4.294,0
2replicas_scenario52_3500rps,2,1_CPU_1_MemBW,52,3500,3500.0035176785354,0.153,0.123,0.0,0.259,0.303,0.452,4.712,0
2replicas_scenario53_3500rps,2,1_CPU_2_MemBW,53,3500,3500.0030018172542,0.194,0.181,0.0,0.303,0.352,0.535,4.912,0
2replicas_scenario54_3500rps,2,2_CPU_1_MemBW,54,3500,3500.003736526211,0.126,0.103,0.0,0.199,0.252,0.4,3.942,0
2replicas_scenario55_3500rps,2,1_CPU_2_L3,55,3500,3499.986129846633,0.246,0.175,0.0,0.496,0.64,0.949,10.883,0
2replicas_scenario56_3500rps,2,1_CPU_1_L3_1_MemBW,56,3500,3500.003562692416,0.142,0.129,0.0,0.207,0.246,0.394,3.672,0
2replicas_scenario57_3500rps,2,2_CPU_1_L3,57,3500,3500.005858045068,0.152,0.13,0.0,0.243,0.295,0.47,3.886,0
2replicas_scenario58_3500rps,2,1_L3_3_MemBW,58,3500,3500.001924050782,0.182,0.148,0.0,0.311,0.366,0.567,4.576,0
2replicas_scenario51_4000rps,2,1_CPU_1_L3,51,4000,3999.99610847646,0.178,0.15,0.0,0.294,0.36,0.585,7.232,0
2replicas_scenario52_4000rps,2,1_CPU_1_MemBW,52,4000,3999.97931311619,0.131,0.107,0.0,0.206,0.267,0.436,3.561,0
2replicas_scenario53_4000rps,2,1_CPU_2_MemBW,53,4000,3999.998677554156,0.12,0.108,0.0,0.166,0.193,0.318,4.043,0
2replicas_scenario54_4000rps,2,2_CPU_1_MemBW,54,4000,4000.0197886312303,0.204,0.179,0.0,0.341,0.404,0.635,5.814,0
2replicas_scenario55_4000rps,2,1_CPU_2_L3,55,4000,3999.988799209142,0.229,0.161,0.0,0.447,0.633,1.01,13.289,0
2replicas_scenario56_4000rps,2,1_CPU_1_L3_1_MemBW,56,4000,4000.002192426469,0.154,0.134,0.0,0.232,0.289,0.477,6.863,0
2replicas_scenario57_4000rps,2,2_CPU_1_L3,57,4000,4000.0012148670357,0.232,0.204,0.0,0.372,0.446,0.731,10.149,0
2replicas_scenario58_4000rps,2,1_L3_3_MemBW,58,4000,4000.002441611664,0.254,0.219,0.0,0.414,0.502,0.856,12.11,0
