Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
2replicas_scenario4_1000rps,2,Baseline4,1000,980.01,693.37,560.0,970.0,1350.0,2150.0,3120.0
2replicas_scenario4_1500rps,2,Baseline4,1500,1471.68,447.3,373.0,586.0,840.0,1320.0,2790.0
2replicas_scenario4_2000rps,2,Baseline4,2000,1963.34,695.64,595.0,960.0,1310.0,1950.0,4820.0
2replicas_scenario4_2500rps,2,Baseline4,2500,2493.98,72.71,66.0,81.0,101.0,155.0,3000.0
2replicas_scenario5_500rps,2,1_iBench_CPU_pod,500,496.68,90.02,68.0,104.0,139.0,321.0,2260.0
2replicas_scenario5_1000rps,2,1_iBench_CPU_pod,1000,996.64,76.06,66.0,78.0,106.0,215.0,2430.0
2replicas_scenario5_1500rps,2,1_iBench_CPU_pod,1500,1471.69,717.68,597.0,980.0,1340.0,2210.0,3480.0
2replicas_scenario5_2000rps,2,1_iBench_CPU_pod,2000,1963.29,754.35,702.0,1030.0,1370.0,2030.0,3530.0
2replicas_scenario5_2500rps,2,1_iBench_CPU_pod,2500,2455.68,536.5,466.0,728.0,980.0,1550.0,3320.0
2replicas_scenario6_500rps,2,2_iBench_CPU_pods,500,488.36,553.74,426.0,744.0,1100.0,1930.0,3060.0
2replicas_scenario6_1000rps,2,2_iBench_CPU_pods,1000,980.0,561.73,442.0,751.0,1110.0,1880.0,2940.0
2replicas_scenario6_1500rps,2,2_iBench_CPU_pods,1500,1495.41,83.53,69.0,83.0,127.0,264.0,2800.0
2replicas_scenario6_2000rps,2,2_iBench_CPU_pods,2000,1963.27,600.03,490.0,803.0,1160.0,1830.0,3200.0
2replicas_scenario6_2500rps,2,2_iBench_CPU_pods,2500,2493.99,100.61,69.0,94.0,206.0,446.0,2690.0
2replicas_scenario7_500rps,2,3_iBench_CPU_pods,500,488.37,292.62,221.0,355.0,569.0,1130.0,2060.0
2replicas_scenario7_1000rps,2,3_iBench_CPU_pods,1000,979.99,636.47,525.0,846.0,1200.0,1970.0,3470.0
2replicas_scenario7_1500rps,2,3_iBench_CPU_pods,1500,1495.55,74.85,68.0,81.0,101.0,163.0,2540.0
2replicas_scenario7_2000rps,2,3_iBench_CPU_pods,2000,1963.29,669.61,553.0,900.0,1270.0,2040.0,3190.0
2replicas_scenario7_2500rps,2,3_iBench_CPU_pods,2500,2493.98,78.88,70.0,87.0,110.0,200.0,2560.0
2replicas_scenario8_500rps,2,4_iBench_CPU_pods,500,488.46,655.17,511.0,910.0,1320.0,2080.0,4070.000000000001
2replicas_scenario8_1000rps,2,4_iBench_CPU_pods,1000,996.65,73.54,67.0,77.0,100.0,190.0,1160.0
2replicas_scenario8_1500rps,2,4_iBench_CPU_pods,1500,1495.4,78.79,68.0,83.0,113.0,217.0,1730.0
2replicas_scenario8_2000rps,2,4_iBench_CPU_pods,2000,1963.32,541.67,457.0,682.0,1010.0,1710.0,3300.0
2replicas_scenario8_2500rps,2,4_iBench_CPU_pods,2500,2454.95,751.31,602.0,1070.0,1480.0,2090.0,6550.0
2replicas_scenario9_500rps,2,1_stress-ng_l3_pod,500,496.67,86.24,67.0,97.0,142.0,301.0,1430.0
2replicas_scenario9_1000rps,2,1_stress-ng_l3_pod,1000,979.99,618.99,506.0,842.0,1160.0,1950.0,2920.0
2replicas_scenario9_1500rps,2,1_stress-ng_l3_pod,1500,1471.68,595.79,491.0,777.0,1120.0,1860.0,3960.0
2replicas_scenario9_2000rps,2,1_stress-ng_l3_pod,2000,1994.96,79.7,70.0,89.0,113.0,184.0,2100.0
2replicas_scenario9_2500rps,2,1_stress-ng_l3_pod,2500,2454.98,532.5,437.0,693.0,1020.0,1790.0,3300.0
2replicas_scenario10_500rps,2,2_stress-ng_l3_pods,500,488.39,491.36,372.0,637.0,1010.0,1730.0,2810.0
2replicas_scenario10_1000rps,2,2_stress-ng_l3_pods,1000,996.65,78.3,67.0,81.0,111.0,238.0,2440.0
2replicas_scenario10_1500rps,2,2_stress-ng_l3_pods,1500,1471.68,520.17,459.0,698.0,920.0,1470.0,3920.0
2replicas_scenario10_2000rps,2,2_stress-ng_l3_pods,2000,1963.33,574.68,487.0,768.0,1080.0,1750.0,3370.0
2replicas_scenario10_2500rps,2,2_stress-ng_l3_pods,2500,2493.94,78.93,71.0,88.0,112.0,178.0,1290.0
2replicas_scenario11_500rps,2,3_stress-ng_l3_pods,500,488.38,699.71,574.0,980.0,1380.0,2150.0,5310.0
2replicas_scenario11_1000rps,2,3_stress-ng_l3_pods,1000,996.67,75.8,67.0,79.0,105.0,209.0,1600.0
2replicas_scenario11_1500rps,2,3_stress-ng_l3_pods,1500,1471.79,605.82,465.0,834.0,1210.0,2010.0,5590.0
2replicas_scenario11_2000rps,2,3_stress-ng_l3_pods,2000,1963.25,393.35,326.0,493.0,719.0,1450.0,5910.0
2replicas_scenario11_2500rps,2,3_stress-ng_l3_pods,2500,2493.97,81.18,71.0,89.0,120.0,223.0,1140.0
2replicas_scenario12_500rps,2,4_stress-ng_l3_pods,500,488.42,394.96,304.0,490.0,799.0,1510.0,2950.0
2replicas_scenario12_1000rps,2,4_stress-ng_l3_pods,1000,996.66,71.59,66.0,75.0,93.0,150.0,1860.0
2replicas_scenario12_1500rps,2,4_stress-ng_l3_pods,1500,1471.68,673.52,572.0,890.0,1260.0,2040.0,3370.0
2replicas_scenario12_2000rps,2,4_stress-ng_l3_pods,2000,1963.77,718.39,654.0,980.0,1290.0,1910.0,2990.0
2replicas_scenario12_2500rps,2,4_stress-ng_l3_pods,2500,2455.02,824.17,731.0,1100.0,1480.0,2270.0,5790.0
2replicas_scenario13_500rps,2,1_iBench_memBW_pod,500,496.66,78.46,63.0,80.0,122.0,287.0,2520.0
2replicas_scenario13_1000rps,2,1_iBench_memBW_pod,1000,980.0,370.73,294.0,471.0,707.0,1320.0,2560.0
2replicas_scenario13_1500rps,2,1_iBench_memBW_pod,1500,1495.55,72.91,65.0,75.0,98.0,201.0,1060.0
2replicas_scenario13_2000rps,2,1_iBench_memBW_pod,2000,1963.25,462.46,373.0,593.0,880.0,1660.0,3370.0
2replicas_scenario13_2500rps,2,1_iBench_memBW_pod,2500,2493.94,77.56,69.0,87.0,108.0,179.0,2860.0
2replicas_scenario14_500rps,2,2_iBench_memBW_pods,500,488.39,573.45,446.0,769.0,1150.0,1960.0,3460.0
2replicas_scenario14_1000rps,2,2_iBench_memBW_pods,1000,979.99,580.31,467.0,776.0,1120.0,1770.0,3240.0
2replicas_scenario14_1500rps,2,2_iBench_memBW_pods,1500,1495.37,77.71,66.0,81.0,114.0,223.0,1360.0
2replicas_scenario14_2000rps,2,2_iBench_memBW_pods,2000,1963.26,596.65,502.0,767.0,1120.0,1860.0,3090.0
2replicas_scenario14_2500rps,2,2_iBench_memBW_pods,2500,2493.96,73.15,68.0,82.0,101.0,141.0,1990.0
2replicas_scenario15_500rps,2,3_iBench_memBW_pods,500,488.37,361.05,291.0,446.0,696.0,1230.0,2340.0
2replicas_scenario15_1000rps,2,3_iBench_memBW_pods,1000,980.0,653.15,519.0,900.0,1270.0,2090.0,5710.0
2replicas_scenario15_1500rps,2,3_iBench_memBW_pods,1500,1495.42,73.44,66.0,77.0,100.0,182.0,2440.0
2replicas_scenario15_2000rps,2,3_iBench_memBW_pods,2000,1994.98,80.15,70.0,86.0,113.0,203.0,1970.0
2replicas_scenario15_2500rps,2,3_iBench_memBW_pods,2500,2493.96,79.77,71.0,90.0,115.0,173.0,1670.0
2replicas_scenario16_500rps,2,4_iBench_memBW_pods,500,488.37,454.68,350.0,594.0,940.0,1620.0,2760.0
2replicas_scenario16_1000rps,2,4_iBench_memBW_pods,1000,980.05,687.27,601.0,960.0,1270.0,1950.0,3620.0
2replicas_scenario16_1500rps,2,4_iBench_memBW_pods,1500,1471.67,635.93,523.0,843.0,1210.0,1980.0,3210.0
2replicas_scenario16_2000rps,2,4_iBench_memBW_pods,2000,1994.94,81.69,69.0,87.0,128.0,218.0,2840.0
2replicas_scenario16_2500rps,2,4_iBench_memBW_pods,2500,2493.96,78.0,70.0,87.0,109.0,177.0,2920.0
3replicas_scenario0_500rps,3,Baseline0,500,496.66,84.58,68.0,91.0,136.0,289.0,970.0
3replicas_scenario0_1000rps,3,Baseline0,1000,996.65,79.42,69.0,79.0,114.0,280.0,2050.0
3replicas_scenario0_1500rps,3,Baseline0,1500,1471.74,779.47,672.0,1070.0,1400.0,2350.0,4110.0
3replicas_scenario0_2000rps,3,Baseline0,2000,1963.31,563.47,467.0,714.0,1030.0,1820.0,3430.0
3replicas_scenario0_2500rps,3,Baseline0,2500,2455.0,737.6,634.0,1000.0,1350.0,2190.0,3600.0
3replicas_scenario1_500rps,3,Baseline1,500,488.38,404.86,313.0,500.0,824.0,1580.0,2820.0
3replicas_scenario1_1000rps,3,Baseline1,1000,996.66,81.12,69.0,78.0,103.0,366.0,1450.0
3replicas_scenario1_1500rps,3,Baseline1,1500,1495.55,75.22,70.0,82.0,101.0,148.0,2680.0
3replicas_scenario1_2000rps,3,Baseline1,2000,1994.97,86.5,72.0,88.0,143.0,261.0,1820.0
3replicas_scenario1_2500rps,3,Baseline1,2500,2455.08,840.41,771.0,1130.0,1470.0,2250.0,3490.0
