Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
3replicas_scenario1_5500rps,3,Baseline1,1,5500,5500.0096411154955,0.103,0.088,0.0,0.148,0.177,0.375,3.764,0
3replicas_scenario0_6000rps,3,Baseline0,0,6000,6000.05478155766,0.105,0.09,0.0,0.153,0.182,0.393,3.618,0
3replicas_scenario1_6000rps,3,Baseline1,1,6000,5999.995526589397,0.102,0.089,0.0,0.145,0.172,0.35,5.831,0
3replicas_scenario0_6500rps,3,Baseline0,0,6500,6500.00934134398,0.106,0.094,0.0,0.145,0.17,0.392,3.545,0
3replicas_scenario1_6500rps,3,Baseline1,1,6500,6499.974319313391,0.106,0.094,0.0,0.145,0.17,0.384,3.901,0
3replicas_scenario0_7000rps,3,Baseline0,0,7000,6999.972855423965,0.116,0.1,0.0,0.162,0.19,0.511,4.082,0
3replicas_scenario1_7000rps,3,Baseline1,1,7000,6999.972453415757,0.13,0.103,0.0,0.169,0.208,0.683,106.529,0
4replicas_scenario0_100rps,4,Baseline0,0,100,100.00524410610318,0.299,0.307,0.0,0.495,0.547,0.603,4.016,0
4replicas_scenario1_100rps,4,Baseline1,1,100,100.0049266843769,0.296,0.306,0.0,0.499,0.552,0.604,2.757,0
4replicas_scenario0_500rps,4,Baseline0,0,500,500.00310862210466,0.088,0.084,0.0,0.101,0.111,0.158,3.213,0
4replicas_scenario1_500rps,4,Baseline1,1,500,500.0047755233886,0.088,0.084,0.0,0.101,0.11,0.157,2.743,0
4replicas_scenario0_1000rps,4,Baseline0,0,1000,1000.0026816794136,0.087,0.084,0.0,0.1,0.107,0.141,3.292,0
4replicas_scenario1_1000rps,4,Baseline1,1,1000,1000.0008209395628,0.087,0.084,0.0,0.1,0.108,0.141,5.153,0
4replicas_scenario0_1500rps,4,Baseline0,0,1500,1500.0059534488014,0.086,0.083,0.0,0.102,0.111,0.175,3.395,0
4replicas_scenario1_1500rps,4,Baseline1,1,1500,1500.0012850919716,0.085,0.083,0.0,0.1,0.107,0.133,2.815,0
4replicas_scenario0_2000rps,4,Baseline0,0,2000,2000.005523152817,0.086,0.083,0.0,0.104,0.113,0.155,3.909,0
4replicas_scenario1_2000rps,4,Baseline1,1,2000,2000.0012112785114,0.086,0.083,0.0,0.103,0.111,0.141,3.871,0
4replicas_scenario0_2500rps,4,Baseline0,0,2500,2500.004979895986,0.089,0.086,0.0,0.108,0.118,0.151,2.994,0
4replicas_scenario1_2500rps,4,Baseline1,1,2500,2500.0048680758528,0.089,0.085,0.0,0.107,0.118,0.175,3.412,0
4replicas_scenario0_3000rps,4,Baseline0,0,3000,3000.002747485382,0.09,0.085,0.0,0.113,0.126,0.172,2.756,0
4replicas_scenario1_3000rps,4,Baseline1,1,3000,3000.004748877423,0.091,0.085,0.0,0.114,0.128,0.19,2.465,0
4replicas_scenario0_3500rps,4,Baseline0,0,3500,3500.0035333896253,0.091,0.084,0.0,0.117,0.131,0.193,3.889,0
4replicas_scenario1_3500rps,4,Baseline1,1,3500,3499.9914369209505,0.093,0.085,0.0,0.121,0.138,0.223,5.051,0
4replicas_scenario0_4000rps,4,Baseline0,0,4000,4000.0213247581305,0.096,0.088,0.0,0.129,0.146,0.215,5.808,0
